accuracy,encoding,f1_score_macro,f1_score_weighted,model_name,precision_macro,precision_weighted,recall_macro,recall_weighted
0.9581531268264172,PS_K-mers + FFT,0.955668950668158,0.957780839518478,SVM,0.9662604885398484,0.9664439262137016,0.955242148800077,0.9581531268264172
0.9607247223845704,PS_FFT,0.9578757448196824,0.9600459373301692,SVM,0.9675951411938424,0.9678397682931772,0.9577708844322608,0.9607247223845704
0.9948568088836938,AS_K-mers + Wavelet,0.9948834472957546,0.9948568976511462,SVM,0.9950076665640112,0.9949230507430624,0.9948251815514836,0.9948568088836938
0.9527761542957336,PS_One Hot + FFT,0.9525107787127766,0.954425884819158,SVM,0.968193939202789,0.9678769986619462,0.949808108498052,0.9527761542957336
0.99520748100526,AS_One Hot + Wavelet,0.995230478672992,0.9952098109161333,SVM,0.995349154453853,0.99527032656324,0.9951700091376904,0.99520748100526
0.3279953243717124,PS_K-mers,0.3584030744169814,0.3609946369312053,SVM,0.6827917290770334,0.6818496232426834,0.3245207788946066,0.3279953243717124
0.3177089421390999,PS_One Hot,0.3448107143159926,0.346931235240523,SVM,0.6536395299889147,0.6527925955686271,0.3145846358550153,0.3177089421390999
0.9953243717124488,AS_One Hot,0.9953458056249006,0.995327092562142,SVM,0.995464868408956,0.9953880017718196,0.9952849516664262,0.9953243717124488
0.99520748100526,AS_K-mers,0.9952079653074304,0.995209592225388,SVM,0.9953095996310526,0.9952753493354004,0.9951700091376904,0.99520748100526
0.99520748100526,AS_One Hot + FFT,0.9952312967744618,0.9952106428837296,SVM,0.9953621404394044,0.9952835326502418,0.9951700091376904,0.99520748100526
0.3327878433664523,PS_K-mers + Wavelet,0.36079090207412,0.3627566118884006,SVM,0.647151371862728,0.6487898612594488,0.3303062195076335,0.3327878433664523
0.9918176504967856,AS_K-mers + FFT,0.9918819473370976,0.991804524811834,SVM,0.9925006036098508,0.9923734951964585,0.9918366758043572,0.9918176504967856
0.3394506136762127,PS_Wavelet,0.3683004305690762,0.3676474755727634,SVM,0.6410345837605023,0.6390679935906467,0.3390482373875823,0.3394506136762127
0.9948568088836938,AS_FFT,0.9948500452778348,0.9948608076673532,SVM,0.9949755863193888,0.9949356747811662,0.9947958447554464,0.9948568088836938
0.3179427235534775,PS_One Hot + Wavelet,0.3450515905013736,0.3471761940731139,SVM,0.6542154571666056,0.6533782842239059,0.3148145209124866,0.3179427235534775
0.9917007597895968,AS_Wavelet,0.9917826572227606,0.991703551814203,SVM,0.9923053514978256,0.9921749337266024,0.9917217332756216,0.9917007597895968
0.9092928112215078,PS_K-mers + FFT,0.9144003810174306,0.9158718790157536,Random Forest,0.9449476947619548,0.9447152908115022,0.9070788246044342,0.9092928112215078
0.930333138515488,PS_FFT,0.931417713393035,0.9333821689298,Random Forest,0.94940269879579,0.9502690322766132,0.928208531717405,0.930333138515488
0.9945061367621274,AS_K-mers + Wavelet,0.9945382495844556,0.9945058491311808,Random Forest,0.9946661146419168,0.9945757098053388,0.9944803539652768,0.9945061367621274
0.7894798363530099,PS_One Hot + FFT,0.8236204867068971,0.8235633278593728,Random Forest,0.9388894416140684,0.9379462998097698,0.7888185126404719,0.7894798363530099
0.992168322618352,AS_One Hot + Wavelet,0.9922375023597934,0.9921661061908468,Random Forest,0.992671038831582,0.9925468191507612,0.992181503390564,0.992168322618352
0.3627118644067796,PS_K-mers,0.3990510932324868,0.4027506700229702,Random Forest,0.6985908868486355,0.7021255847521869,0.3586587099290894,0.3627118644067796
0.2852133255406195,PS_One Hot,0.3072010467894462,0.3094371413727474,Random Forest,0.6671179942387793,0.6658398460795693,0.2821389142713627,0.2852133255406195
0.9920514319111632,AS_One Hot,0.9921148040145192,0.9920413282126016,Random Forest,0.9925466970497384,0.9924203698810898,0.9920665608618284,0.9920514319111632
0.9945061367621274,AS_K-mers,0.9945431043483371,0.9945107861791962,Random Forest,0.9946805457304576,0.9945903854886008,0.9944803539652768,0.9945061367621274
0.98947983635301,AS_One Hot + FFT,0.9895263341597056,0.9894542340030532,Random Forest,0.990412311245588,0.9903398889583224,0.9895378252296444,0.98947983635301
0.3862068965517241,PS_K-mers + Wavelet,0.4262698408269011,0.4278349903665785,Random Forest,0.7338311696433073,0.7355336757669937,0.3843994506698301,0.3862068965517241
0.9897136177673876,AS_K-mers + FFT,0.9897842253846718,0.9896939245073284,Random Forest,0.9906146945517263,0.9905008695937132,0.989767710287116,0.9897136177673876
0.3841028638223261,PS_Wavelet,0.4228051903078219,0.4219210024136373,Random Forest,0.745895331914687,0.7449524245831606,0.3842078797886041,0.3841028638223261
0.9914669783752192,AS_FFT,0.9915404854324178,0.9914572754172444,Random Forest,0.9919853784580388,0.9918495374149544,0.9914918482181504,0.9914669783752192
0.2918760958503799,PS_One Hot + Wavelet,0.3167967038870686,0.3192920522730785,Random Forest,0.6638858109466523,0.663990989932465,0.2886459385370076,0.2918760958503799
0.9945061367621274,AS_Wavelet,0.9945376821957128,0.99450527212568,Random Forest,0.994666821792507,0.9945764289415324,0.9944803539652768,0.9945061367621274
0.8676797194623027,PS_K-mers + FFT,0.8825737008313851,0.8838267539876106,XGBoost,0.9389207133891329,0.9381607652451632,0.8654496438438148,0.8676797194623027
0.925540619520748,PS_FFT,0.9256321079322016,0.9270809210023152,XGBoost,0.9409180784693248,0.94112127339744,0.923495888039244,0.925540619520748
0.993103448275862,AS_K-mers + Wavelet,0.9930610193989288,0.9931011868644564,XGBoost,0.9931436473372912,0.9931633258138448,0.9930423700283748,0.993103448275862
