model_name,encoding,parameters,training_time,model_file,metadata_file,accuracy,f1_score_weighted,f1_score_macro,precision_weighted,precision_macro,recall_weighted,recall_macro
SVM,AS_K-mers + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'scale'}",31.59714674949646,modelos/SVM/AS_K-mers + Wavelet.joblib,modelos/SVM/AS_K-mers + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
Random Forest,AS_K-mers + Wavelet,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10}",4.845136880874634,modelos/RandomForest/AS_K-mers + Wavelet.joblib,modelos/RandomForest/AS_K-mers + Wavelet_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
XGBoost,AS_K-mers + Wavelet,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.8}",135.6045527458191,modelos/XGBoost/AS_K-mers + Wavelet.joblib,modelos/XGBoost/AS_K-mers + Wavelet_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
SVM,AS_One Hot + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}",352.91135478019714,modelos/SVM/AS_One Hot + Wavelet.joblib,modelos/SVM/AS_One Hot + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
Random Forest,AS_One Hot + Wavelet,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10}",2.567432403564453,modelos/RandomForest/AS_One Hot + Wavelet.joblib,modelos/RandomForest/AS_One Hot + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
XGBoost,AS_One Hot + Wavelet,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.9}",204.75985312461853,modelos/XGBoost/AS_One Hot + Wavelet.joblib,modelos/XGBoost/AS_One Hot + Wavelet_metadata.json,0.9956896551724138,0.9956891162951108,0.9956891162951108,0.9957737594617325,0.9957737594617326,0.9956896551724138,0.9956896551724138
SVM,PS_One Hot,"{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}",80.40581154823303,modelos/SVM/PS_One Hot.joblib,modelos/SVM/PS_One Hot_metadata.json,0.9706896551724138,0.9710109315843981,0.9710109315843984,0.9727098268096099,0.97270982680961,0.9706896551724138,0.970689655172414
Random Forest,PS_One Hot,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5}",6.1164820194244385,modelos/RandomForest/PS_One Hot.joblib,modelos/RandomForest/PS_One Hot_metadata.json,0.9672413793103448,0.9674966290342997,0.9674966290342997,0.96935967582577,0.9693596758257699,0.9672413793103448,0.9672413793103449
XGBoost,PS_One Hot,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",90.81559729576111,modelos/XGBoost/PS_One Hot.joblib,modelos/XGBoost/PS_One Hot_metadata.json,0.971551724137931,0.9717706745048533,0.9717706745048534,0.9727424202917121,0.9727424202917119,0.971551724137931,0.971551724137931
SVM,PS_K-mers,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",17.78519320487976,modelos/SVM/PS_K-mers.joblib,modelos/SVM/PS_K-mers_metadata.json,0.9724137931034482,0.9727371862262285,0.9727371862262285,0.9743770600645049,0.974377060064505,0.9724137931034482,0.9724137931034483
Random Forest,PS_K-mers,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}",6.734415531158447,modelos/RandomForest/PS_K-mers.joblib,modelos/RandomForest/PS_K-mers_metadata.json,0.971551724137931,0.971812598255513,0.9718125982555131,0.9737656073064447,0.9737656073064448,0.971551724137931,0.971551724137931
