encoding,time,memory_used,iter
AS_One Hot,22.153666734695435,9239.871726989746,0
AS_One Hot,22.117257833480835,9239.871726989746,1
AS_One Hot,20.056185722351074,9239.871726989746,2
AS_One Hot,20.045191526412964,9239.871726989746,3
AS_One Hot,20.074363470077515,9239.871726989746,4
AS_One Hot,20.116841077804565,9239.871726989746,5
AS_One Hot,20.078677892684937,9239.871726989746,6
AS_One Hot,20.07132887840271,9239.871726989746,7
AS_One Hot,20.01957392692566,9239.871726989746,8
AS_One Hot,20.078574419021606,9239.871726989746,9
AS_One Hot,20.010470628738403,9239.871726989746,10
AS_One Hot,20.081457376480103,9239.871726989746,11
AS_One Hot,20.046829223632812,9239.871726989746,12
AS_One Hot,20.085068941116333,9239.871726989746,13
AS_One Hot,20.035431623458862,9239.871726989746,14
AS_One Hot,20.077593326568604,9239.871726989746,15
AS_One Hot,20.017147302627563,9239.871726989746,16
AS_One Hot,20.142761707305908,9239.871726989746,17
AS_One Hot,20.040354251861572,9239.871726989746,18
AS_One Hot,20.064861536026,9239.871726989746,19
AS_One Hot,20.08309769630432,9239.871726989746,20
AS_One Hot,20.148340225219727,9239.871726989746,21
AS_One Hot,20.05108094215393,9239.871726989746,22
AS_One Hot,20.107754230499268,9239.871726989746,23
AS_One Hot,20.04364323616028,9239.871726989746,24
AS_One Hot,20.092951774597168,9239.871726989746,25
AS_One Hot,20.063069581985474,9239.871726989746,26
AS_One Hot,20.186275482177734,9239.871726989746,27
AS_One Hot,20.067519903182983,9239.871726989746,28
AS_One Hot,20.15710163116455,9239.871726989746,29
AS_One Hot,20.061370372772217,9239.871726989746,30
AS_One Hot,20.176962852478027,9239.871726989746,31
AS_One Hot,20.069220304489136,9239.871726989746,32
AS_One Hot,20.178330898284912,9239.871726989746,33
AS_One Hot,20.076791763305664,9239.871726989746,34
AS_One Hot,20.194875717163086,9239.871726989746,35
AS_One Hot,20.00425887107849,9239.871726989746,36
AS_One Hot,20.136133909225464,9239.871726989746,37
AS_One Hot,20.05915880203247,9239.871726989746,38
AS_One Hot,20.153815269470215,9239.871726989746,39
AS_One Hot,20.033508777618408,9239.871726989746,40
AS_One Hot,20.17500114440918,9239.871726989746,41
AS_One Hot,20.072307109832764,9239.871726989746,42
AS_One Hot,20.16416645050049,9239.871726989746,43
AS_One Hot,20.058358907699585,9239.871726989746,44
AS_One Hot,20.11396360397339,9239.871726989746,45
AS_One Hot,20.024644136428833,9239.871726989746,46
AS_One Hot,20.13608169555664,9239.871726989746,47
AS_One Hot,20.05156898498535,9239.871726989746,48
AS_One Hot,20.129032373428345,9239.871726989746,49
AS_K-mers,13.61301875114441,1981.8984756469727,0
AS_K-mers,14.694663763046265,1981.8984756469727,1
AS_K-mers,13.94900631904602,1981.8984756469727,2
AS_K-mers,13.93661642074585,1981.8984756469727,3
AS_K-mers,14.81838321685791,1981.8984756469727,4
AS_K-mers,13.906082153320312,1981.8984756469727,5
AS_K-mers,13.70803952217102,1981.8984756469727,6
AS_K-mers,14.789642810821533,1981.8984756469727,7
AS_K-mers,13.820763349533081,1981.8984756469727,8
AS_K-mers,13.918924808502197,1981.8984756469727,9
AS_K-mers,14.831658601760864,1981.8984756469727,10
AS_K-mers,13.877367496490479,1981.8984756469727,11
AS_K-mers,13.976715564727783,1981.8984756469727,12
AS_K-mers,14.824891567230225,1981.8984756469727,13
AS_K-mers,13.910507917404175,1981.8984756469727,14
AS_K-mers,13.999387264251709,1981.8984756469727,15
AS_K-mers,14.95874810218811,1981.8984756469727,16
