algorithm,encoding,accuracy,f1_weighted,f1_score_weighted,f1_macro,f1_score_macro,f1_micro,precision_weighted,precision_macro,recall_weighted,recall_macro,n_samples,n_classes,total_time,prediction_time,model_load_time,efficiency_score,input_data_mb,feature_dimensions,model_file,valid_samples,original_samples,has_probabilities
SVM,PS_K-mers + FFT,0.9581531268264173,0.9577808395184781,0.9577808395184781,0.9556689506681579,0.9556689506681579,0.9581531268264173,0.9664439262137017,0.9662604885398483,0.9581531268264173,0.955242148800077,8555,29,2.5268125534057617,2.480759620666504,0.017336606979370117,0.3791943828737797,52.08503723144531,798,modelos/SVM/PS_K-mers + FFT.joblib,8555,8555,True
SVM,PS_FFT,0.9607247223845704,0.9600459373301691,0.9600459373301691,0.9578757448196825,0.9578757448196825,0.9607247223845704,0.9678397682931771,0.9675951411938424,0.9607247223845704,0.9577708844322609,8555,29,2.745516777038574,2.716176748275757,0.0019354820251464844,0.3499249141070072,52.150306701660156,799,modelos/SVM/PS_FFT.joblib,8555,8555,True
SVM,AS_K-mers + Wavelet,0.9948568088836938,0.9948568976511462,0.9948568976511462,0.9948834472957546,0.9948834472957546,0.9948568088836938,0.9949230507430624,0.9950076665640113,0.9948568088836938,0.9948251815514837,8555,29,113.14181661605835,112.98835754394531,0.024502992630004883,0.008793007206696136,511.64737701416016,7839,modelos/SVM/AS_K-mers + Wavelet.joblib,8555,8555,True
SVM,PS_One Hot + FFT,0.9527761542957335,0.9544258848191581,0.9544258848191581,0.9525107787127766,0.9525107787127766,0.9527761542957335,0.9678769986619462,0.968193939202789,0.9527761542957335,0.9498081084980521,8555,29,28.992279767990112,28.907185554504395,0.010632038116455078,0.03286309879458592,261.01261138916016,3999,modelos/SVM/PS_One Hot + FFT.joblib,8555,8555,True
SVM,AS_One Hot + Wavelet,0.9952074810052601,0.9952098109161331,0.9952098109161331,0.9952304786729919,0.9952304786729919,0.9952074810052601,0.9952703265632401,0.995349154453853,0.9952074810052601,0.9951700091376905,8555,29,623.5983831882477,622.8874595165253,0.12415242195129395,0.001595910938570913,2557.8452682495117,39189,modelos/SVM/AS_One Hot + Wavelet.joblib,8555,8555,True
SVM,PS_K-mers,0.32799532437171247,0.3609946369312053,0.3609946369312053,0.35840307441698144,0.35840307441698144,0.32799532437171247,0.6818496232426834,0.6827917290770334,0.32799532437171247,0.3245207788946066,8555,29,29.017496824264526,28.97627067565918,0.008029937744140625,0.011303363841413148,104.30061340332031,1598,modelos/SVM/PS_K-mers.joblib,8555,8555,True
SVM,PS_One Hot,0.31770894213909995,0.34693123524052305,0.34693123524052305,0.34481071431599264,0.34481071431599264,0.31770894213909995,0.6527925955686271,0.6536395299889147,0.31770894213909995,0.31458463585501534,8555,29,171.00682067871094,170.84001064300537,0.03548717498779297,0.0018578729250572654,522.15576171875,8000,modelos/SVM/PS_One Hot.joblib,8555,8555,True
SVM,AS_One Hot,0.9953243717124488,0.9953270925621419,0.9953270925621419,0.9953458056249006,0.9953458056249006,0.9953243717124488,0.9953880017718196,0.9954648684089559,0.9953243717124488,0.9952849516664262,8555,29,565.565691947937,564.8602681159973,0.13576078414916992,0.0017598740268072574,2557.257843017578,39180,modelos/SVM/AS_One Hot.joblib,8555,8555,True
SVM,AS_K-mers,0.9952074810052601,0.995209592225388,0.995209592225388,0.9952079653074303,0.9952079653074303,0.9952074810052601,0.9952753493354004,0.9953095996310526,0.9952074810052601,0.9951700091376905,8555,29,105.04956579208374,104.92460751533508,0.022749900817871094,0.009473694379422712,511.32102966308594,7834,modelos/SVM/AS_K-mers.joblib,8555,8555,True
SVM,AS_One Hot + FFT,0.9952074810052601,0.9952106428837296,0.9952106428837296,0.9952312967744618,0.9952312967744618,0.9952074810052601,0.9952835326502418,0.9953621404394044,0.9952074810052601,0.9951700091376905,8555,29,252.79996466636658,252.45395421981812,0.05241107940673828,0.003936739003578137,1278.5636520385742,19589,modelos/SVM/AS_One Hot + FFT.joblib,8555,8555,True
SVM,PS_K-mers + Wavelet,0.33278784336645234,0.36275661188840064,0.36275661188840064,0.36079090207412,0.36079090207412,0.33278784336645234,0.6487898612594488,0.647151371862728,0.33278784336645234,0.3303062195076335,8555,29,26.65012526512146,26.60304093360901,0.007257223129272461,0.01248729002418577,104.56169128417969,1602,modelos/SVM/PS_K-mers + Wavelet.joblib,8555,8555,True
SVM,AS_K-mers + FFT,0.9918176504967855,0.991804524811834,0.991804524811834,0.9918819473370977,0.9918819473370977,0.9918176504967855,0.9923734951964585,0.9925006036098508,0.9918176504967855,0.9918366758043573,8555,29,41.50571799278259,41.42299199104309,0.009989023208618164,0.023895928042233894,255.59524536132812,3916,modelos/SVM/AS_K-mers + FFT.joblib,8555,8555,True
SVM,PS_Wavelet,0.33945061367621276,0.3676474755727634,0.3676474755727634,0.3683004305690762,0.3683004305690762,0.33945061367621276,0.6390679935906467,0.6410345837605023,0.33945061367621276,0.33904823738758233,8555,29,15.93764042854309,15.889970541000366,0.007843732833862305,0.021298674367648724,104.62696075439453,1603,modelos/SVM/PS_Wavelet.joblib,8555,8555,True
SVM,AS_FFT,0.9948568088836938,0.9948608076673532,0.9948608076673532,0.9948500452778347,0.9948500452778347,0.9948568088836938,0.9949356747811662,0.9949755863193888,0.9948568088836938,0.9947958447554465,8555,29,40.45375037193298,40.37160325050354,0.009303569793701172,0.024592449395592516,255.66051483154297,3917,modelos/SVM/AS_FFT.joblib,8555,8555,True
