encoding^algoritmo^tiempo_segundos^tiempo_minutos^parametros_optimos^accuracy
PS-K-mers + FFT^XGBoost^20.94075226783752^0.3490125377972921^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9856870229007634
PS-One Hot + FFT^SVM^19.64992690086365^0.3274987816810608^{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}^0.9923664122137404
PS-One Hot + FFT^Random Forest^31.8607451915741^0.5310124198595683^{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}^0.9942748091603053
PS-One Hot + FFT^XGBoost^570.7442278862^9.512403798103332^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9923664122137404
PS-K-mers + Wavelet^SVM^13.56161904335022^0.226026984055837^{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}^0.9646946564885496
PS-K-mers + Wavelet^Random Forest^4.066575527191162^0.06777625878651937^{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}^0.9713740458015268
PS-K-mers + Wavelet^XGBoost^121.3236243724823^2.022060406208039^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.976145038167939
PS-One Hot + Wavelet^SVM^57.67991590499878^0.9613319317499797^{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}^0.9637404580152672
PS-One Hot + Wavelet^Random Forest^7.253042697906494^0.1208840449651082^{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}^0.9732824427480916
PS-One Hot + Wavelet^XGBoost^72.3268620967865^1.205447701613108^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9675572519083969
