modelo,encoding,tiempo,iter
XGBoost,AS_One Hot + Wavelet,232.7856273651123,4
SVM,PS_One Hot,106.25405621528625,0
SVM,PS_One Hot,106.64480876922607,1
SVM,PS_One Hot,106.71272492408752,2
SVM,PS_One Hot,106.80785942077637,3
SVM,PS_One Hot,106.70862126350403,4
RandomForest,PS_One Hot,6.232756853103638,0
RandomForest,PS_One Hot,6.278388261795044,1
RandomForest,PS_One Hot,6.288405179977417,2
RandomForest,PS_One Hot,6.295410871505737,3
RandomForest,PS_One Hot,6.293979644775391,4
XGBoost,PS_One Hot,89.24329280853271,0
XGBoost,PS_One Hot,90.04920840263367,1
XGBoost,PS_One Hot,89.21543741226196,2
XGBoost,PS_One Hot,89.17649221420288,3
XGBoost,PS_One Hot,89.09482979774475,4
SVM,PS_K-mers,20.27495813369751,0
SVM,PS_K-mers,20.31487226486206,1
SVM,PS_K-mers,20.258858680725098,2
SVM,PS_K-mers,20.257532596588135,3
SVM,PS_K-mers,20.239084720611572,4
RandomForest,PS_K-mers,5.181804895401001,0
RandomForest,PS_K-mers,5.2281084060668945,1
RandomForest,PS_K-mers,5.255844593048096,2
RandomForest,PS_K-mers,5.47266411781311,3
RandomForest,PS_K-mers,5.276257276535034,4
XGBoost,PS_K-mers,60.35300278663635,0
XGBoost,PS_K-mers,60.33188724517822,1
XGBoost,PS_K-mers,60.43292474746704,2
XGBoost,PS_K-mers,60.35542941093445,3
XGBoost,PS_K-mers,60.44162034988403,4
SVM,PS_FFT,3.2016313076019287,0
SVM,PS_FFT,3.2249763011932373,1
SVM,PS_FFT,3.2153799533843994,2
SVM,PS_FFT,3.232243061065674,3
SVM,PS_FFT,3.2254297733306885,4
RandomForest,PS_FFT,14.39590859413147,0
RandomForest,PS_FFT,14.317993879318237,1
RandomForest,PS_FFT,14.924657821655273,2
RandomForest,PS_FFT,14.308157920837402,3
RandomForest,PS_FFT,14.3124680519104,4
XGBoost,PS_FFT,26.853816509246826,0
XGBoost,PS_FFT,26.859204530715942,1
XGBoost,PS_FFT,26.852611541748047,2
XGBoost,PS_FFT,26.86466670036316,3
XGBoost,PS_FFT,26.876813173294067,4
SVM,PS_Wavelet,12.030949831008911,0
SVM,PS_Wavelet,12.07930302619934,1
SVM,PS_Wavelet,12.084170579910278,2
SVM,PS_Wavelet,12.088402032852173,3
SVM,PS_Wavelet,12.078231573104858,4
RandomForest,PS_Wavelet,4.466181755065918,0
RandomForest,PS_Wavelet,4.503981828689575,1
RandomForest,PS_Wavelet,4.511510848999023,2
RandomForest,PS_Wavelet,4.517505645751953,3
RandomForest,PS_Wavelet,4.505991697311401,4
XGBoost,PS_Wavelet,35.58530879020691,0
XGBoost,PS_Wavelet,35.591752767562866,1
XGBoost,PS_Wavelet,35.737640380859375,2
XGBoost,PS_Wavelet,36.348052740097046,3
XGBoost,PS_Wavelet,35.64077806472778,4
SVM,PS_K-mers + FFT,2.9239511489868164,0
SVM,PS_K-mers + FFT,2.939624071121216,1
SVM,PS_K-mers + FFT,2.94226336479187,2
SVM,PS_K-mers + FFT,2.9488275051116943,3
SVM,PS_K-mers + FFT,2.9379892349243164,4
RandomForest,PS_K-mers + FFT,13.73948049545288,0
RandomForest,PS_K-mers + FFT,14.29304051399231,1
RandomForest,PS_K-mers + FFT,13.683061361312866,2
RandomForest,PS_K-mers + FFT,13.967119932174683,3
RandomForest,PS_K-mers + FFT,14.100483894348145,4
XGBoost,PS_K-mers + FFT,33.15707540512085,0
XGBoost,PS_K-mers + FFT,33.09957814216614,1
XGBoost,PS_K-mers + FFT,33.132248640060425,2
XGBoost,PS_K-mers + FFT,33.17003917694092,3
XGBoost,PS_K-mers + FFT,33.10929727554321,4
SVM,PS_One Hot + FFT,20.15109133720398,0
SVM,PS_One Hot + FFT,20.259603261947632,1
SVM,PS_One Hot + FFT,20.273731231689453,2
SVM,PS_One Hot + FFT,20.261154890060425,3
SVM,PS_One Hot + FFT,20.308324098587036,4
RandomForest,PS_One Hot + FFT,34.304256439208984,0
RandomForest,PS_One Hot + FFT,33.02676725387573,1
RandomForest,PS_One Hot + FFT,33.156153440475464,2
RandomForest,PS_One Hot + FFT,33.0469274520874,3
RandomForest,PS_One Hot + FFT,33.41755795478821,4
XGBoost,PS_One Hot + FFT,169.7088315486908,0
XGBoost,PS_One Hot + FFT,169.62730956077576,1
XGBoost,PS_One Hot + FFT,169.62194561958313,2
XGBoost,PS_One Hot + FFT,169.79215264320374,3
XGBoost,PS_One Hot + FFT,169.98190021514893,4
SVM,PS_K-mers + Wavelet,13.20648193359375,0
SVM,PS_K-mers + Wavelet,13.28325366973877,1
SVM,PS_K-mers + Wavelet,14.04638147354126,2
SVM,PS_K-mers + Wavelet,14.03350019454956,3
SVM,PS_K-mers + Wavelet,13.425281524658203,4
RandomForest,PS_K-mers + Wavelet,6.175048828125,0
RandomForest,PS_K-mers + Wavelet,6.226112365722656,1
RandomForest,PS_K-mers + Wavelet,6.225656032562256,2
RandomForest,PS_K-mers + Wavelet,6.398629665374756,3
RandomForest,PS_K-mers + Wavelet,6.279984712600708,4
XGBoost,PS_K-mers + Wavelet,42.22026467323303,0
XGBoost,PS_K-mers + Wavelet,43.154276609420776,1
XGBoost,PS_K-mers + Wavelet,42.43916201591492,2
XGBoost,PS_K-mers + Wavelet,42.263383626937866,3
XGBoost,PS_K-mers + Wavelet,42.25595831871033,4
SVM,PS_One Hot + Wavelet,104.45604395866394,0
SVM,PS_One Hot + Wavelet,104.79817366600037,1
SVM,PS_One Hot + Wavelet,104.32635474205017,2
SVM,PS_One Hot + Wavelet,104.56706643104553,3
SVM,PS_One Hot + Wavelet,105.30383205413818,4
RandomForest,PS_One Hot + Wavelet,5.594654321670532,0
RandomForest,PS_One Hot + Wavelet,5.683130741119385,1
RandomForest,PS_One Hot + Wavelet,5.685766220092773,2
RandomForest,PS_One Hot + Wavelet,5.675607442855835,3
RandomForest,PS_One Hot + Wavelet,5.6844093799591064,4
XGBoost,PS_One Hot + Wavelet,111.20702004432678,0
XGBoost,PS_One Hot + Wavelet,111.48323559761047,1
XGBoost,PS_One Hot + Wavelet,111.47270178794861,2
XGBoost,PS_One Hot + Wavelet,110.94591331481934,3
XGBoost,PS_One Hot + Wavelet,110.94528651237488,4
